SKU,url,name,Unit,QTY on Hand,Our Price,Selling Price,KM PRICE,Account,Taxable?,Description,Cost Price,Account.1,Owner Type,Equipment Category,image_url
125791292242,https://kmrentaleq.com/1000c.html,Aputure | 1000C | Storm Blair | Monolight |,Rental Duration (hr),2,,$350.00,$350.00,Rental Sales,Yes,,$210.00,Cost of Goods Sold,3rd Party Equipment,Lighting,https://kmrentaleq.com/images/P/1732017718_IMG_2374054.jpg
610630572577,https://kmrentaleq.com/A-Clamp-Large.html,A Clamp - Large,Rental Duration (hr),15,$4.00,$4.00,$1.50,Rental Sales,Yes,,$0.90,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1428-1-02.JPG
499169272895,https://kmrentaleq.com/A-Clamp-Medium-serialized.html,A Clamp Medium,Rental Duration (hr),15,$4.00,$4.00,$1.00,Rental Sales,Yes,,$0.60,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1428-1-01.JPG
165622020710,https://kmrentaleq.com/A-Clamp-Small.html,A Clamp Small,Rental Duration (hr),7,$4.00,$4.00,$1.00,Rental Sales,Yes,,$0.60,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1428-1.JPG
920317392733,https://kmrentaleq.com/ALM-Action-Cart-Table-Top-Dolly-Kit.html,ALM | Action Cart | Table Top Dolly,Rental Duration (hr),2,,$15.00,$15.00,Rental Sales,Yes,,$9.00,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/VD1000-1.jpg
101701247502,https://kmrentaleq.com/ALPA-V-Mount-Kit.html,ALPA | V Mount | Kit,Rental Duration (hr),2,,$285.00,$285.00,Rental Sales,Yes,ALPA 12 SWA Body | ALPA 12 SWA Viewfinder | Schneider 72mm f/5.6 Digitar Copal 0 | Rodenstock Lens 35mm f/4 APO Digitar HR | ALPA 12 SWA Adapter for Mamiya 645AFD | ALPA 12 SWA Adapter for Hasselblad V Mount Digital | ALPA 12 SWA Mask for Viewfinder W/S-Level | ALPA 12 SWA Viewfinder Distance Spacer | ALPA 12 SWA Tool Kit,$171.00,Cost of Goods Sold,3rd Party Equipment,Stills Cameras,https://kmrentaleq.com/images/P/VD1271-1.jpg
474838158588,https://kmrentaleq.com/APC-Battery-Back-UPS-Kit.html,APC | Battery Back-UPS | Kit,Rental Duration (hr),2,,$45.00,$45.00,Rental Sales,Yes,APC Battery Back-UPS PRO 1300 120V | SKB Case 2015-7,$27.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/DG1309-1.jpg
155237435883,https://kmrentaleq.com/Adjustable-Telescopic-Pole-for-Seamless.html,Adjustable Telescopic Pole for Seamless,Rental Duration (hr),2,,$3.00,$3.00,Rental Sales,Yes,,$1.80,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/GP1155-1.jpg
257507958298,https://kmrentaleq.com/Advantage-Grip-Halo-Silk-48x48.html,"Advantage Grip | Halo Silk | 48x48""",Rental Duration (hr),2,,$7.00,$7.00,Rental Sales,Yes,,$4.20,Cost of Goods Sold,3rd Party Equipment,Grip & Support,https://kmrentaleq.com/images/P/LT3384-1.jpg
135034630730,https://kmrentaleq.com/Anton-Bauer-Adapter-Plate-SO-XLR-for-Gold-Mount-Batteries.html,Anton Bauer | Adapter Plate SO-XLR for Gold Mount Batteries,Rental Duration (hr),2,,$5.00,$5.00,Rental Sales,Yes,,$3.00,Cost of Goods Sold,3rd Party Equipment,Power & Media,https://kmrentaleq.com/images/P/VD1017-1.jpg
